region;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;age;sex
Samarkand region;74605;71693;64850;60913;60436;58643;59766;59237;59149;60619;63245;66475;16-17;female
Surkhandarya region;53093;51498;47789;43385;42296;41048;41358;41444;40028;39827;40859;42882;16-17;female
Syrdarya region;14869;14345;13781;13445;13306;13049;13505;13374;13062;13407;13813;14733;16-17;female
Tashkent region;51883;49950;47058;43310;41164;40412;40945;40788;42104;42280;42191;45899;16-17;female
Fergana region;69244;64245;60543;55731;51817;49713;50510;51395;53516;54944;54691;61724;16-17;female
Khorezm region;32395;32087;30648;29889;30495;29488;29012;28258;28746;30024;30735;32975;16-17;female
Tashkent city;36581;35258;33722;32483;32083;31562;31725;32280;34994;38043;39317;42216;16-17;female
Republic of Karakalpakstan;32535;31152;31513;32020;31075;30532;32193;31335;29986;29235;30010;30480;18-19;female
Andijan region;57656;58407;57438;52069;49150;47203;43763;41840;42983;42637;42959;44702;18-19;female
Bukhara region;34656;34160;32903;31291;29654;27850;27416;28084;28329;27361;26798;27921;18-19;female
Jizzakh region;26950;27568;27446;25834;23535;22188;22428;22428;22181;21588;21718;22485;18-19;female
Kashkadarya region;62224;63810;63559;59509;56108;54819;55547;53220;51371;51560;51511;50975;18-19;female
Navoi region;18861;17981;16842;15979;14782;13956;13776;13562;13754;13858;14263;14711;18-19;female
Namangan region;54035;53793;53643;48821;43638;42896;41382;39125;40278;40102;39895;40955;18-19;female
Samarkand region;74750;75365;74447;71563;64712;60752;60244;58391;59428;58772;58797;60409;18-19;female
Surkhandarya region;51181;51643;53020;51393;47723;43329;42248;40987;41162;41116;39776;39652;18-19;female
Syrdarya region;15862;15240;14891;14406;13790;13450;13299;13081;13506;13375;13105;13425;18-19;female
Tashkent region;51898;51925;51544;49592;46715;43106;40943;40247;40631;39290;40646;42052;18-19;female
Fergana region;71696;71414;69206;64148;60428;55600;51732;49636;50367;51011;53312;54762;18-19;female
Khorezm region;34341;33183;32353;32046;30582;29828;30439;29410;28882;28111;28630;29929;18-19;female
Tashkent city;36530;36651;36410;35263;33819;32753;32515;31991;33338;35612;37723;39099;18-19;female
Republic of Karakalpakstan;95990;93669;90526;86466;81032;78481;76194;76768;77566;76641;75327;74734;20-24;female
Andijan region;141834;144586;146056;147711;144324;139106;133882;128784;119207;113044;110014;106567;20-24;female
Bukhara region;91072;90701;90635;88989;85673;82483;78997;75278;72041;70159;69062;67999;20-24;female
Jizzakh region;68130;69018;69370;69435;68254;65931;63564;61236;58390;55951;54546;53903;20-24;female
Kashkadarya region;155764;158120;158759;161339;157850;154395;149063;146497;140119;135130;131369;130291;20-24;female
Navoi region;46635;47176;47206;47242;45305;43340;41084;38828;36941;35405;34596;34323;20-24;female
