Bundesland;Stadt;Kreis / Landkreis;FreizügG/EU_m;FreizügG/EU_w; Niederlassungserlaubnis_m; Niederlassungserlaubnis_w;Befristete_AE_m;Befristete_AE_w;Ausbildung_m;Ausbildung_w;Erwerb_m;Erwerb_w;AE_human_m;AE_human_w;AE_family_m;AE_family_w;NVisa_m;NVisa_w;Antrag_m;Antrag_w;Duldung_m;Duldung_w;AEgestattung_m;AEgestattung_w;OhneAT_m;OhneAT_w
Niedersachsen;Grafschaft Bentheim; Landkreis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0
Niedersachsen;Oldenburg; Landkreis;0;0;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Niedersachsen;Osnabrück; Landkreis;0;0;10;15;0;5;0;0;0;0;0;0;0;5;0;0;0;5;0;0;0;0;5;0
Niedersachsen;Vechta; Landkreis;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Niedersachsen;Wesermarsch; Landkreis;0;0;0;5;5;5;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bremen;Bremen; kreisfreie Stadt;0;0;30;40;50;45;15;10;10;5;5;0;20;30;0;0;5;5;0;0;0;0;5;5
Bremen;Bremerhaven; kreisfreie Stadt;0;0;5;5;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nordrhein-Westfalen;Düsseldorf; kreisfreie Stadt;0;5;45;60;15;25;5;5;5;5;5;10;5;10;0;0;10;15;0;0;0;0;10;5
Nordrhein-Westfalen;Duisburg; kreisfreie Stadt;0;0;10;25;15;10;5;0;5;0;10;5;0;5;0;0;0;0;0;0;0;0;10;5
Nordrhein-Westfalen;Essen; kreisfreie Stadt;0;0;30;30;15;20;5;5;0;0;5;0;5;10;0;5;5;5;0;0;5;5;10;5
Nordrhein-Westfalen;Krefeld; kreisfreie Stadt;0;0;10;10;5;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
Nordrhein-Westfalen;Mönchengladbach; kreisfreie Stadt;0;0;10;10;10;5;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;5;0
Nordrhein-Westfalen;Mülheim an der Ruhr; kreisfreie Stadt;0;0;5;10;5;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0
Nordrhein-Westfalen;Oberhausen; kreisfreie Stadt;0;0;5;5;0;10;0;0;0;0;0;5;0;0;0;5;0;0;0;0;0;0;5;0
Nordrhein-Westfalen;Solingen; kreisfreie Stadt;0;0;10;10;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nordrhein-Westfalen;Wuppertal; kreisfreie Stadt;0;0;30;30;10;5;5;0;0;0;0;0;0;0;0;0;5;0;0;5;0;0;5;5
Nordrhein-Westfalen;Kleve; Landkreis;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;5;0
Nordrhein-Westfalen;Mettmann; Landkreis;0;0;20;25;5;10;0;0;0;0;5;5;0;0;0;5;5;5;5;0;0;0;0;0
Nordrhein-Westfalen;Rhein-Kreis Neuss;;0;0;5;5;5;5;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;5;0;0
Nordrhein-Westfalen;Viersen; Landkreis;0;0;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0
Nordrhein-Westfalen;Wesel; Landkreis;0;0;5;5;0;5;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;5;0
